TrafficType,VisitorType_Returning_Visitor,Total_Duration,Total_Pages,VisitorType_Other,Is_Peak_Season,Informational,ExitRates,Engagement_Score,Browser,Informational_Duration,PageValues,Region,SpecialDay,BounceRates
-0.7626290315351482,1.0,-0.6428939351966996,-0.721321007982621,0.0,0,-0.39647790101721364,3.229315594758881,-0.3156272768515687,-0.7902928907952793,-0.24493050612963668,-0.3171778443096163,-0.8941784945554543,-0.3088213656157658,3.667188794132383
-0.5141821926314181,1.0,-0.6114862690941767,-0.6998212569022395,0.0,0,-0.39647790101721364,1.171472500128347,-0.3156272768515687,-0.20795192721996142,-0.24493050612963668,-0.3171778443096163,-0.8941784945554543,-0.3088213656157658,-0.45768299649364935
-0.265735353727688,1.0,-0.6428939351966996,-0.721321007982621,0.0,0,-0.39647790101721364,3.229315594758881,-0.3156272768515687,-0.7902928907952793,-0.24493050612963668,-0.3171778443096163,2.437081342395485,-0.3088213656157658,3.667188794132383
-0.01728851482395788,1.0,-0.6415852824422641,-0.6998212569022395,0.0,0,-0.39647790101721364,1.9946097379805605,-0.3156272768515687,-0.20795192721996142,-0.24493050612963668,-0.3171778443096163,-0.47777101493658686,-0.3088213656157658,0.5735349511628588
-0.01728851482395788,1.0,-0.3349515839571199,-0.5278232482591879,0.0,0,-0.39647790101721364,0.14255095281308014,-0.3156272768515687,0.3743890363553565,-0.24493050612963668,-0.3171778443096163,-0.8941784945554543,-0.3088213656157658,-0.045195817431046136
-0.265735353727688,1.0,-0.5672129105848612,-0.3343254885357549,0.0,0,-0.39647790101721364,-0.3809354383438791,-0.3156272768515687,-0.20795192721996142,-0.24493050612963668,-0.3171778443096163,-0.8941784945554543,-0.3088213656157658,-0.13203521703653345
-0.265735353727688,1.0,-0.6428939351966996,-0.721321007982621,0.0,0,-0.39647790101721364,3.229315594758881,-0.3156272768515687,0.9567299999306743,-0.24493050612963668,-0.3171778443096163,-0.061363535317719466,1.7021463861890365,3.667188794132383
0.23115832407977221,1.0,-0.6428939351966996,-0.721321007982621,0.0,0,-0.39647790101721364,3.229315594758881,-0.3156272768515687,-0.20795192721996142,-0.24493050612963668,-0.3171778443096163,-0.8941784945554543,-0.3088213656157658,3.667188794132383
-0.265735353727688,1.0,-0.6247363782311784,-0.6998212569022395,0.0,0,-0.39647790101721364,1.171472500128347,-0.3156272768515687,-0.20795192721996142,-0.24493050612963668,-0.3171778443096163,-0.47777101493658686,3.713114137993839,-0.45768299649364935
-0.5141821926314181,1.0,-0.28072428545198275,-0.6783215058218581,0.0,0,-0.39647790101721364,-0.42907213360171953,-0.3156272768515687,0.9567299999306743,-0.24493050612963668,-0.3171778443096163,-0.8941784945554543,1.7021463861890365,-0.45768299649364935
